"company_id","company","company_revenue","company_employees","company_industry","no_of_stars","no_of_reviews"
"c_33","Accion in Arizona, Colorado, Nevada, New Mexico and Texas","","","",NA,NA
"c_34","Accolite Software India","","","",NA,NA
"c_35","Accolite, Inc.","","","",NA,NA
"c_36","Accountants One, Inc","","","",4.40000009536743,9
"c_37","Ace Technologies","","","Internet and Software",4.09999990463257,16
"c_38","Achievement Network (ANet)","","","",NA,NA
"c_40","Aclara","","Less than 10,000","Energy and Utilities",2.90000009536743,67
"c_42","Acquisition Life Cycle Management","","","",5,5
"c_45","ActiveCampaign","","","",5,2
"c_46","Acuity, Inc.","","","",NA,NA
"c_47","Acumen Solutions","","","",3.70000004768372,14
"c_48","Acustream","","","",NA,NA
"c_49","Adaptive Management","","Less than 10,000","Internet and Software",5,2
"c_50","Adobe","$5B to $10B (USD)","10,000+","Internet and Software",4.300000191,484
"c_53","Advance Auto Parts","$5B to $10B (USD)","10,000+","Auto",3.5,5042
"c_54","Advance Financial","Less than $1B (USD)","Less than 10,000","Banks and Financial Services",3.90000009536743,468
"c_55","Advanced ICU Care","","","",2.59999990463257,20
"c_56","Advanced Micro Devices, Inc.","$5B to $10B (USD)","Less than 10,000","Computers and Electronics",3.79999995231628,401
"c_57","Advanced Technology Group Inc","","","",NA,NA
"c_58","Advantage SCI","","Less than 10,000","Aerospace and Defense",4.09999990463257,14
"c_59","Advantage Solutions","More than $10B (USD)","10,000+","Retail",3.5,1985
"c_60","Adventist Health System","","","Health Care",3.79999995231628,1048
"c_62","Aegon","","","Insurance",3.900000095,305
"c_63","Aera Technology","","","",NA,NA
"c_64","Aetna","More than $10B (USD)","10,000+","Insurance",3.79999995231628,3656
"c_66","Affirm","","Less than 10,000","Internet and Software",3.5,4
"c_68","Agent IQ","","","",NA,NA
"c_69","Agilent","$1B to $5B (USD)","10,000+","Health Care",4.19999980926514,522
"c_73","AirPR","","","",NA,NA
"c_74","Akili Interactive","","","",NA,NA
"c_75","Akima, LLC","","Less than 10,000","Aerospace and Defense",3.599999905,219
"c_77","Alaka`ina Foundation Family of Companies","","","",NA,NA
"c_78","Alameda Health Consortium/Community Health Center Network","","","",NA,NA
"c_79","Alarm.com","","Less than 10,000","Consumer Goods and Services",4.40000009536743,13
"c_80","Albemarle Corporation","","","",3.29999995231628,76
"c_82","Aledade, Inc.","","","",NA,NA
"c_83","Alegeus Technologies","","","",3.09999990463257,14
"c_84","Alere","","","",3.5,427
"c_85","Alibaba","","","",4.40000009536743,16
"c_86","Alion Science and Technology","Less than $1B (USD)","Less than 10,000","Internet and Software",3.59999990463257,192
"c_87","All-In Analytics","","","",NA,NA
"c_88","Allegheny Health Network","","","Health Care",3.59999990463257,505
"c_89","Allegro MicroSystems, LLC","","","",4.19999980926514,54
"c_90","Allergan","$1B to $5B (USD)","10,000+","Pharmaceuticals",3.79999995231628,1078
"c_91","Alliance Data - Retail","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",3.79999995231628,988
"c_92","Alliance Health Professionals","","","",4,3
"c_93","AllianceData","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",3.79999995231628,988
"c_94","Alliant Credit Union","More than $10B (USD)","Less than 10,000","Banks and Financial Services",3.70000004768372,43
"c_96","Alloy","","","",4.099999905,7
"c_97","Allstate","More than $10B (USD)","10,000+","Insurance",3.79999995231628,5671
"c_98","Alltran","","Less than 10,000","Banks and Financial Services",2.70000004768372,96
"c_99","Ally Financial","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",3.70000004768372,649
"c_100","Alnylam","","","",4.59999990463257,14
"c_101","Alqimi","","","",NA,NA
"c_103","AltaMed","","","Health Care",3.70000004768372,233
"c_105","AltaSource Group","","","",NA,NA
"c_102","Altair Engineering","","","",4.19999980926514,62
"c_104","Altamira Technologies Corporation","","","",3.79999995231628,6
"c_106","Alteryx, Inc.","","Less than 10,000","Internet and Software",5,5
"c_107","Altice USA","$5B to $10B (USD)","10,000+","Media, News and Publishing",3.599999905,1394
"c_127","AmTrust Financial Services","","","Banks and Financial Services",2.90000009536743,158
"c_108","Amches, Inc.","","","",NA,NA
"c_109","Amdocs","$1B to $5B (USD)","10,000+","Internet and Software",3.900000095,911
"c_118","AmeriCorps","","","Government",4.40000009536743,2094
"c_119","AmeriHealth Caritas","","Less than 10,000","Insurance",3.40000009536743,373
"c_120","AmeriSourceBergen","More than $10B (USD)","10,000+","Health Care",3.5,1265
"c_110","American Axle & Manufacturing, Inc.","","10,000+","Auto",3.79999995231628,504
"c_111","American Chemical Society","","","",3.90000009536743,71
"c_112","American Express","More than $10B (USD)","10,000+","Banks and Financial Services",4.19999980926514,6037
"c_113","American Family Insurance","$5B to $10B (USD)","Less than 10,000","Insurance",3.79999995231628,982
"c_114","American Institutes for Research","","","",3.79999995231628,169
"c_115","American Merchandising Specialists","","","",3.29999995231628,18
"c_116","American Modern Insurance Group, Inc.","","","Insurance",3.799999952,66
"c_117","American Specialty Health","Less than $1B (USD)","Less than 10,000","Health Care",3.599999905,158
"c_121","Ameritas","","Less than 10,000","Insurance",3.20000004768372,101
"c_122","Amgen","More than $10B (USD)","10,000+","Health Care",4.09999990463257,1086
"c_123","Amica Insurance Company","","Less than 10,000","Insurance",3.90000009536743,198
"c_124","Amne","","","",NA,NA
"c_125","Amplify Education, Inc.","","","",4.199999809,5
"c_126","Amplitude","","","",NA,NA
"c_132","AnaVation, LLC","","","",NA,NA
"c_128","Anadarko Petroleum Corporation","More than $10B (USD)","Less than 10,000","Energy and Utilities",4.400000095,260
"c_129","AnalogFolk","","","",NA,NA
"c_130","Analysis Group","","","",4.30000019073486,10
"c_131","Analytic Recruiting","","","Human Resources and Staffing",4,2
"c_134","AncestryDNA","","","",NA,NA
"c_135","Anchorage Consultants LLC","","","",NA,NA
"c_136","Andersen Corporation","","","",3.59999990463257,190
"c_137","Anheuser-Busch","","","",NA,NA
"c_138","Animoto","","","",NA,NA
"c_139","Annalect","","","",3,8
"c_140","Anne Arundel Medical Center","","","Health Care",4,258
"c_141","AnswerRocket","","","",NA,NA
"c_143","Anthem, Inc.","More than $10B (USD)","10,000+","Health Care",3.79999995231628,3348
"c_144","Apeel Sciences","","","",NA,NA
"c_145","Apkudo","","","",NA,NA
"c_146","Apogee Integration, LLC","","","",NA,NA
"c_148","AppDynamics","Less than $1B (USD)","Less than 10,000","Internet and Software",3.400000095,14
"c_149","AppFolio","","Less than 10,000","Internet and Software",4,23
"c_155","AppNexus","","Less than 10,000","Internet and Software",4.5,10
"c_157","AppZen","","","",NA,NA
"c_147","Appalachian Regional Healthcare","","Less than 10,000","Health Care",3.59999990463257,114
"c_150","Applause","","","",4.09999990463257,21
"c_151","Applied Materials Inc.","$5B to $10B (USD)","10,000+","Computers and Electronics",4,679
"c_152","Applied Memetics LLC","Less than $1B (USD)","Less than 10,000","Aerospace and Defense",4.80000019073486,22
"c_153","Applied Systems Inc.","","Less than 10,000","Internet and Software",3.09999990463257,75
"c_154","Applied Thought","","","",NA,NA
"c_156","Apptentive","","","",NA,NA
"c_158","Aptiv","More than $10B (USD)","10,000+","Computers and Electronics",3.90000009536743,65
"c_160","Arable Labs, Inc.","","","",NA,NA
"c_161","Aramark","More than $10B (USD)","10,000+","Food and BeveragesConsulting and Business Services",3.59999990463257,13098
"c_162","Arbella Insurance Group","","","Insurance",3.79999995231628,13
"c_163","Arc Aspicio","","Less than 10,000","Consulting and Business Services",3.29999995231628,12
"c_165","Arcadis","$1B to $5B (USD)","Less than 10,000","Real Estate",3.59999990463257,275
"c_166","Arch Capital Group Ltd.","","","",4.19999980926514,35
"c_167","Archer Daniels Midland Company","More than $10B (USD)","10,000+","Agriculture and Extraction",3.70000004768372,733
"c_168","Arconic","","10,000+","Industrial Manufacturing",2.79999995231628,192
"c_169","Areté Associates","","","",4,15
"c_170","Argonne National Laboratory","","10,000+","Government",4.30000019073486,156
"c_171","Arkansas Blue Cross and Blue Shield","More than $10B (USD)","Less than 10,000","Insurance",4.09999990463257,180
"c_172","Arkatechture","","","",NA,NA
"c_173","Armor","","","",NA,NA
"c_174","Aroghia Group","","","",5,2
"c_175","Arrayo","","","",NA,NA
"c_176","Arrow Electronics, Inc.","More than $10B (USD)","10,000+","Computers and Electronics",3.599999905,757
"c_177","Arrowpoint Corporation","","Less than 10,000","Computers and Electronics",3.29999995231628,10
"c_178","Arthrex","","Less than 10,000","Industrial Manufacturing",3.79999995231628,93
"c_179","Arthur Lawrence","","","Human Resources and Staffing",4,25
"c_180","Aruba Networks","Less than $1B (USD)","Less than 10,000","Telecommunications",4.09999990463257,54
"c_181","Ascena Retail Group, Inc.","","","",3.70000004768372,20
"c_182","Ascend Performance Materials","$1B to $5B (USD)","Less than 10,000","Industrial Manufacturing",3.29999995231628,77
"c_183","Ascensia Diabetes Care","","","",NA,NA
"c_184","Ascension Healthcare","","","Health Care",3.29999995231628,457
"c_185","Ascensus","","Less than 10,000","Banks and Financial Services",3.09999990463257,79
"c_186","Ascent Services Group","","","Human Resources and Staffing",3.5,13
"c_187","Asembia LLC","","Less than 10,000","Pharmaceuticals",2.40000009536743,27
"c_188","Asendia Management SAS","","","",NA,NA
"c_190","Asics Digital","","","",NA,NA
"c_192","Aspen Technology","","","",3,41
"c_193","Association of Universities for Research in Astronomy","","","",5,2
"c_194","Assurant","More than $10B (USD)","10,000+","Insurance",3.59999990463257,2056
"c_195","Assured Consulting Solutions","","","",NA,NA
"c_196","AssuredPartners","","","Insurance",2.79999995231628,13
"c_197","Astor Services For Children & Families","","Less than 10,000","",2.70000004768372,26
"c_198","Astronics","","","",3.09999990463257,17
"c_199","Asurion","","10,000+","Telecommunications",3.70000004768372,1905
"c_203","Atlantic Health System","","","Health Care",3.900000095,268
"c_204","Atlassian","","Less than 10,000","Internet and Software",4.5,11
"c_206","Atos","","","Internet and Software",3.59999990463257,1869
"c_207","Audi Canada","","","",3.599999905,5
"c_208","Audley Travel","","","",4.5,4
"c_209","Augmedix Inc.","","","",NA,NA
"c_210","Aultman Health Foundation","","","",3.70000004768372,21
"c_211","Aultman Hospital","Less than $1B (USD)","Less than 10,000","Health Care",3.79999995231628,127
"c_212","Aunalytics","","","",NA,NA
"c_214","Auth0","","","",NA,NA
"c_217","Auto Club Group","","","Insurance",3.299999952,179
"c_216","Auto-Owners Insurance","$5B to $10B (USD)","Less than 10,000","Insurance",3.70000004768372,154
"c_218","Autodesk","$1B to $5B (USD)","Less than 10,000","Internet and Software",4.09999990463257,333
"c_219","Availity, LLC.","","","",NA,NA
"c_220","AvalonBay Communities","$1B to $5B (USD)","Less than 10,000","Real Estate",3.90000009536743,294
"c_221","Avanade","$1B to $5B (USD)","10,000+","Consulting and Business Services",3.700000048,201
"c_222","Averity","","","",NA,NA
"c_224","Avkare Inc","","","",NA,NA
"c_225","Avvo","","","",3.799999952,16
"c_228","Axelon Services Corporation","","","Human Resources and Staffing",3.40000009536743,51
"c_229","Axiologic Solutions","","","",3.79999995231628,5
"c_230","Axis Group","","","",4,10
"c_232","Axius Technologies","","Less than 10,000","Consulting and Business Services",4.19999980926514,13
"c_233","Axos Bank","","","",NA,NA
"c_235","BAE Systems","More than $10B (USD)","10,000+","Aerospace and Defense",3.90000009536743,3246
"c_236","BAE Systems Applied Intelligence","Less than $1B (USD)","Less than 10,000","Computers and Electronics",3.70000004768372,49
"c_237","BAIN & COMPANY","","","Consulting and Business Services",4.30000019073486,107
"c_250","BASF","More than $10B (USD)","10,000+","Industrial Manufacturing",4.19999980926514,2078
"c_255","BB&T","Less than $1B (USD)","10,000+","Banks and Financial Services",3.70000004768372,2153
"c_256","BBYO","","","",3.90000009536743,9
"c_257","BBYO -","","","",NA,NA
"c_258","BCD Travel","More than $10B (USD)","10,000+","Restaurants, Travel and Leisure",3.799999952,327
"c_259","BCG Digital Ventures","","","",4.5,4
"c_274","BGC Partners","","","Banks and Financial Services",3.700000048,41
"c_275","BHP Engineering & Construction","","","",NA,NA
"c_276","BI Worldwide","","","",4,45
"c_289","BJ's Wholesale Club, Inc.","More than $10B (USD)","10,000+","Retail",3.5,2550
"c_307","BLUECUBE Information Technology","","","",NA,NA
"c_308","BLUEHAWK, LLC","","","",NA,NA
"c_313","BMO Financial Group","More than $10B (USD)","10,000+","Banks and Financial Services",3.79999995231628,1830
"c_314","BMW North America","","10,000+","Auto",4,2057
"c_315","BNP Paribas","","10,000+","Banks and Financial Services",3.90000009536743,2542
"c_316","BNY Mellon","Less than $1B (USD)","10,000+","Banks and Financial Services",3.599999905,3445
"c_319","BOK Financial","More than $10B (USD)","Less than 10,000","Banks and Financial Services",3.70000004768372,321
"c_348","BRS","","","",3.70000004768372,34
"c_238","Ball Corporation","","","",3.90000009536743,110
"c_239","Baltimore Medical System, Inc.","","","",2.79999995231628,41
"c_240","Balyasny","","","",4.40000009536743,5
"c_241","Bangor Savings Bank","Less than $1B (USD)","Less than 10,000","Banks and Financial Services",4.300000191,23
"c_242","Bank of America Merchant Services","","Less than 10,000","Banks and Financial Services",3.5,167
"c_243","Bank of the West","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",3.59999990463257,983
"c_244","Banner Health","","10,000+","Health Care",3.79999995231628,1764
"c_245","Baptist Health South Florida","Less than $1B (USD)","10,000+","Health Care",4.19999980926514,851
"c_246","Barings","","","",4.09999990463257,16
"c_247","Barri Financial Group","","","Banks and Financial Services",3.59999990463257,34
"c_248","Barrick Gold Corporation","More than $10B (USD)","10,000+","Agriculture and Extraction",4.09999990463257,316
"c_249","Bartech Group","","Less than 10,000","Consulting and Business Services",3.79999995231628,103
"c_251","Bassett Healthcare","","","Health Care",3.40000009536743,56
"c_252","Battelle","","10,000+","Consulting and Business Services",3.79999995231628,291
"c_253","Baylor Scott & White Health","","10,000+","Health Care",3.90000009536743,2132
"c_254","Baystate Health","","","Health Care",3.90000009536743,331
"c_260","Beachbody","$1B to $5B (USD)","Less than 10,000","Retail",4,199
"c_261","Beacon Health System","","Less than 10,000","Health Care",3.299999952,78
"c_262","Bealls Inc","","10,000+","Retail",3.5,1137
"c_263","Beaumont Health","$1B to $5B (USD)","10,000+","Health Care",3.79999995231628,738
"c_264","Beaver Dam Community Hospitals, Inc.","","","Health Care",5,2
"c_265","Becton Dickinson","","10,000+","",4,960
"c_266","Benchmark Education Company","","","",2.90000009536743,16
"c_267","Benson Hill Biosystems, Inc","","","",NA,NA
"c_268","Berico Technologies","","","",3.40000009536743,8
"c_269","Berkadia Commercial Mortgage","","Less than 10,000","Real Estate",3.90000009536743,48
"c_270","Bertelsmann","$1B to $5B (USD)","10,000+","Consulting and Business Services",4.09999990463257,1837
"c_271","Betterment LLC","","","",NA,NA
"c_272","Beyond Limits","","","",4,6
"c_273","Beyondsoft Consulting","Less than $1B (USD)","Less than 10,000","Consulting and Business Services",3.599999905,38
"c_277","Big Fish Games","","","Internet and Software",3.70000004768372,19
"c_278","BigCommerce","Less than $1B (USD)","Less than 10,000","Internet and Software",3.799999952,29
"c_279","Bigfoot Biomedical","","","",NA,NA
"c_280","Bill.com","","","",3.79999995231628,11
"c_281","Billings Clinic","","","",3.799999952,106
"c_282","Bind Benefits","","","",NA,NA
"c_283","Bio-Rad","$1B to $5B (USD)","Less than 10,000","Industrial Manufacturing",3.70000004768372,281
"c_284","BioTelemetry, Inc.","","","",NA,NA
"c_285","Bird Rides Inc.","","","Transport and Freight",4.599999905,5
"c_287","BitTorrent Inc.","","","",NA,NA
"c_286","Bitcoin","","","",NA,NA
"c_288","Bixal","","","",NA,NA
"c_291","BlackLine","","","",3.90000009536743,7
"c_292","BlackRock","More than $10B (USD)","10,000+","Banks and Financial Services",3.90000009536743,358
"c_290","Blackbaud","Less than $1B (USD)","Less than 10,000","Internet and Software",3.59999990463257,77
"c_293","Blade","","","",5,20
"c_294","Blizzard Entertainment","$1B to $5B (USD)","Less than 10,000","Computers and Electronics",4.099999905,181
"c_295","Bloomberg","","10,000+","Media, News and Publishing",3.90000009536743,671
"c_296","Blue Apron","","Less than 10,000","Food and Beverages",3.40000009536743,478
"c_297","Blue Chip Talent","","","",3.79999995231628,4
"c_298","Blue Cross Blue Shield of Arizona","","","Health Care",3.799999952,113
"c_299","Blue Cross Blue Shield of Arizona Advantage","","","Health Care",2.5,2
"c_300","Blue Cross Blue Shield of Michigan","","","Insurance",3.90000009536743,609
"c_301","Blue Nile","","","",3,31
"c_302","Blue Origin","","","Aerospace and Defense",3.70000004768372,18
"c_303","Blue Owl","","Less than 10,000","Internet and Software",4,2
"c_304","Blue Shield of California","More than $10B (USD)","Less than 10,000","Health Care",3.59999990463257,542
"c_309","BlueLabs Analytics","","","",NA,NA
"c_310","BlueLinx Corporation","","","",3.20000004768372,99
"c_306","Bluecore Inc.","","Less than 10,000","Consulting and Business Services",5,3
"c_311","Blume Global","","","",NA,NA
"c_312","Blytheco, LLC","","","",NA,NA
"c_317","Boeing","More than $10B (USD)","10,000+","Aerospace and Defense",4,5876
"c_318","Boeing Intelligence & Analytics","More than $10B (USD)","10,000+","Aerospace and Defense",4,5876
"c_320","Bold","","","",3.5,6
"c_321","Boll & Branch","","","",NA,NA
"c_322","BookBub","","","",NA,NA
"c_323","Booz Allen Hamilton","$5B to $10B (USD)","10,000+","Consulting and Business Services",3.90000009536743,1733
"c_324","BorderX Lab Inc","","","",NA,NA
"c_325","Bosch Group","More than $10B (USD)","10,000+","",4.19999980926514,3505
"c_326","Bose","","","Computers and Electronics",4.19999980926514,717
"c_327","Boss Fight Entertainment","","","",NA,NA
"c_328","Boston Bruins","","","",4.300000191,3
"c_329","Boston Children's Hospital","","Less than 10,000","Organization",4.19999980926514,377
"c_330","Boston Medical Center","","","Health Care",4,451
"c_331","Bowery Farming","","","",5,8
"c_332","Boxy Charm","","","",2.79999995231628,6
"c_333","BoxyCharm","","","",2.79999995231628,6
"c_334","Boyd Caton Group (bcg)","","","",NA,NA
"c_335","Boyne Resorts","","","",NA,NA
"c_336","Brad's Deals","","","",NA,NA
"c_337","Bright Cellars","","","",1.29999995231628,3
"c_338","Brighthouse Financial","","","Banks and Financial Services",3.79999995231628,17
"c_339","Brightidea","","","",4.5,2
"c_340","Brightree","","","Consulting and Business Services",3.59999990463257,39
"c_341","Brillio","","","",3.40000009536743,27
"c_342","Bristol-Myers Squibb","More than $10B (USD)","10,000+","Health Care",4.19999980926514,1481
"c_343","Brivo Systems","","","",2.5,4
"c_344","Broad Institute","","","",4.09999990463257,36
"c_345","Broadridge","","","",3.59999990463257,570
"c_346","Brooks Sports, Inc","","","",4,31
"c_347","Brown & Brown Insurance","","","",NA,NA
"c_349","Bryant & Stratton College","","","Education and Schools",3.90000009536743,367
"c_350","Buchanan & Edwards","","Less than 10,000","Government",4,22
"c_351","Burlington Stores","$1B to $5B (USD)","10,000+","Retail",3.40000009536743,6742
"c_352","Butterball, LLC","","","",3.70000004768372,509
"c_353","Butterfly Network","","","",NA,NA
"c_354","Buxton","","Less than 10,000","Consulting and Business Services",2.90000009536743,16
"c_355","C&A Industries, Inc","","","Consulting and Business Services",4.30000019073486,6
"c_356","C.H. Robinson Worldwide, Inc.","More than $10B (USD)","10,000+","Transport and Freight",3.5,874
"c_357","C3","","Less than 10,000","Consulting and Business Services",3,774
"c_358","C5T Corporation","","","",NA,NA
"c_361","CACI","$1B to $5B (USD)","10,000+","Consulting and Business Services",3.90000009536743,1435
"c_368","CALNET INC.","","","",4.19999980926514,30
"c_378","CAPCO","Less than $1B (USD)","Less than 10,000","Consulting and Business Services",3.5,103
"c_407","CBRE","$5B to $10B (USD)","10,000+","Real EstateReal Estate",3.79999995231628,2218
"c_408","CCC Information Services Inc.","","Less than 10,000","Internet and Software",3.90000009536743,73
"c_409","CDW","","","",NA,NA
"c_426","CGG","","","",3.90000009536743,103
"c_434","CHEP","$5B to $10B (USD)","10,000+","Consulting and Business Services",3.59999990463257,480
"c_442","CHOC Children's Hospital","","","Health Care",4.09999990463257,149
"c_448","CIBC","More than $10B (USD)","10,000+","Banks and Financial Services",3.90000009536743,2309
"c_450","CIITS","","","",NA,NA
"c_486","CMI Media and Compas, Inc.","","Less than 10,000","Consulting and Business Services",3.59999990463257,7
"c_532","CONTINUUM","Less than $1B (USD)","Less than 10,000","Consulting and Business Services",3.5,41
"c_543","CORKCICLE.","","","",NA,NA
"c_546","CORTEK","","","",4.19999980926514,12
"c_558","CRB Workforce LLC","","","",NA,NA
"c_568","CRGT Inc.","Less than $1B (USD)","Less than 10,000","Aerospace and Defense",3.40000009536743,131
"c_583","CSRA","","","",3.5,318
"c_584","CSSI, Inc.","","","",NA,NA
"c_585","CTG","","","Internet and Software",3.59999990463257,193
"c_359","Cable & Wireless Communications Inc","","","",4.09999990463257,293
"c_362","Caesars Entertainment","$5B to $10B (USD)","10,000+","Restaurants, Travel and Leisure",3.799999952,1179
"c_363","Calero Software","","","",3.09999990463257,15
"c_364","Calico","","","",NA,NA
"c_365","California State University","","Less than 10,000","Education and Schools",4.40000009536743,878
"c_366","Calix","Less than $1B (USD)","Less than 10,000","Telecommunications",3.200000048,30
"c_367","CallMiner, Inc","","","",NA,NA
"c_369","Cambia Health","","","Health Care",3.59999990463257,80
"c_370","Cambria","","Less than 10,000","Consumer Goods and Services",2.79999995231628,87
"c_371","Camp4 Therapeutics Corporation","","","",NA,NA
"c_372","Cancer Treatment Centers of America","","Less than 10,000","Health Care",3.79999995231628,309
"c_373","Candid Co.","","","",NA,NA
"c_374","Candid Partners","","","",NA,NA
"c_375","Canton-Potsdam Hospital","","","Health Care",2.90000009536743,23
"c_376","Canvas Technology","","","",NA,NA
"c_384","CapTech Consulting","Less than $1B (USD)","Less than 10,000","Consulting and Business Services",4.5,15
"c_377","Capax Global LLC","","","",NA,NA
"c_379","Capgemini","","10,000+","Consulting and Business Services",3.79999995231628,6074
"c_380","Capgemini Government Solutions","","10,000+","Consulting and Business Services",3.79999995231628,6072
"c_381","Capital Group Companies","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",4.099999905,302
"c_382","Capital Impact Partners","","","",4,3
"c_383","Capital One","More than $10B (USD)","10,000+","Banks and Financial Services",4,6791
"c_394","CarMax","More than $10B (USD)","10,000+","Auto",3.79999995231628,2426
"c_385","Carbon Black","","Less than 10,000","Internet and Software",4.09999990463257,7
"c_386","Carbonite","","Less than 10,000","Computers and Electronics",3.400000095,62
"c_387","Cardinal Health","More than $10B (USD)","10,000+","Health Care",3.599999905,2722
"c_388","Cardinal Solutions Group","","","",4.80000019073486,8
"c_389","Care New England Health System","","","Health Care",3.59999990463257,33
"c_390","Care.org","","","",NA,NA
"c_391","CareSource","","","",3.70000004768372,255
"c_392","Caris Life Sciences","","","",3.20000004768372,44
"c_393","Carlisle & Company","","","",NA,NA
"c_395","Carolinas HealthCare System","$5B to $10B (USD)","10,000+","Health Care",3.90000009536743,1145
"c_396","Carrot Inc.","","","",NA,NA
"c_397","Carter Bank and Trust","$1B to $5B (USD)","Less than 10,000","Banks and Financial Services",3.29999995231628,24
"c_398","Caserta","","","",3.700000048,3
"c_399","Casey's General Stores","$5B to $10B (USD)","10,000+","Retail",3.5,2526
"c_400","Castle Global","","","",NA,NA
"c_401","Castleton Commodities International","","","",3.29999995231628,11
"c_402","Castlight Health","Less than $1B (USD)","Less than 10,000","Internet and Software",3.40000009536743,10
"c_403","Catalina Marketing","Less than $1B (USD)","Less than 10,000","Consulting and Business Services",3.20000004768372,81
"c_404","Catalyst Repository Systems","","","",4,4
"c_405","Catasys","","","",3.40000009536743,12
"c_406","Catholic Health Initiatives","More than $10B (USD)","10,000+","Health Care",3.40000009536743,689
"c_410","Celgene","$5B to $10B (USD)","Less than 10,000","Pharmaceuticals",4,216
"c_411","Cell Signaling Technology, Inc","","","",3,3
"c_412","Celmatix","","","",NA,NA
"c_413","Celtra Inc.","","","",NA,NA
"c_414","CenCal Health","","","",4.30000019073486,7
"c_415","Centene","$5B to $10B (USD)","Less than 10,000","InsuranceHealth Care",3.29999995231628,1134
"c_416","Central California Alliance for Health","Less than $1B (USD)","Less than 10,000","Health Care",3.90000009536743,21
"c_417","Central Health","","","",NA,NA
"c_418","Central Intelligence Agency","","","Government",4.300000191,158
